year,id,country,CO2_emissions_transport_cap,gas_cons_capita,diesel_cons_capita,real_gdp_PPP_cap,urban_pop,vehicles_1000cap,share,fuel_cons_capita,gas_share
1977,2,Austria,1.59503619230158,302.572660380026,145.736962619724,17606.1067029681,65.361,259.670763949723,2.07615593834996,448.30962299975,67.491895078102
1978,2,Austria,1.66620936467202,301.627612216117,180.368287182281,17629.0167207145,65.371,269.798692329918,1.67228739002933,481.995899398398,62.5788751714678
1979,2,Austria,1.80545491941558,319.891912297956,188.888557737841,18372.7934920938,65.381,283.29309848101,1.69354838709677,508.780470035797,62.874251497006
1980,2,Austria,1.47137739522121,317.24236773808,161.071699026934,18493.2003839561,65.391,297.638246474934,1.96957236842104,478.314066765014,66.325117695929
1981,2,Austria,1.56235701778679,312.734931051659,137.407827754003,18317.1221908258,65.364,305.587081550225,2.27596153846154,450.142758805662,69.4746110948048
1982,2,Austria,1.54046025443218,307.493656045439,138.761628382892,18464.6231226952,65.1,311.731760965601,2.21598477640343,446.255284428331,68.9053254437871
1983,2,Austria,1.5519186474716,318.305824851129,143.746751812703,18877.8124497465,64.836,319.29763776612,2.21435142594297,462.052576663832,68.8895248998283
1984,2,Austria,1.54166983293417,316.871112013938,133.969297358147,18864.9826773357,64.57,326.459240403342,2.36525172754195,450.840409372085,70.2845409210912
1985,2,Austria,1.52747191958404,311.170478196586,146.993021136195,19237.4739713222,64.305,334.541311053492,2.11690647482015,458.163499332781,67.9169070975188
1986,2,Austria,1.59269705291887,316.653266918492,157.335853525208,20130.427852206,64.037,344.712154650444,2.01259445843829,473.9891204437,66.8060200668897
1987,2,Austria,1.70137032518128,324.902245482459,156.84025503176,20923.6132911744,63.769,354.448414738443,2.07154882154882,481.742500514219,67.4431351055084
1988,2,Austria,1.74228934645832,331.034286371947,183.248768640783,22114.5837413354,63.5,367.130338784786,1.80647482014389,514.28305501273,64.3681107408357
1989,2,Austria,1.82706905531345,334.27096316628,197.911508619847,23422.5142291403,63.231,380.979654093205,1.68899204244032,532.182471786127,62.8113440197287
1990,2,Austria,1.81957258543587,332.254472280652,222.327865222686,24872.1401053236,62.96,0,1.49443468072642,554.582337503338,59.9107562235792
1991,2,Austria,1.97781054703646,359.901899330371,248.617291977411,26199.1161348432,62.689,0,1.44761410788382,608.519191307782,59.1438864166137
1992,2,Austria,1.95897432947369,341.423205477974,260.435631522608,27045.7612595713,62.417,0,1.31096963761019,601.858837000582,56.7281203644841
1993,2,Austria,1.97014916572755,325.084657990069,277.397142012537,27425.4466568993,62.144,0,1.171910624715,602.481800002606,53.9575897543566
1994,2,Austria,1.95396593081761,312.621359712645,289.814239153198,28673.7776006872,61.87,0,1.07869565217391,602.435598865843,51.892909433173
1995,2,Austria,1.95642724716678,301.071502531743,308.997747688241,30071.4337076999,61.596,0,0.974348534201954,610.069250219984,49.3503815219633
